table_id,game_id,player_name,player_type,bet_number,opponents,call,current,final,pot,allowed,hand1,hand2,community1,community2,community3,community4,community5
27,2601,players_1,AlwaysCallPlayer,1,3,10,0,10,15,True,5-diamonds,8-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2601,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,5-diamonds,8-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2601,players_1,AlwaysCallPlayer,3,3,100,110,210,540,False,5-diamonds,8-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2601,players_1,AlwaysCallPlayer,4,2,0,210,210,840,True,5-diamonds,8-spades,3-hearts,6-spades,A-clubs,Z-N/A,Z-N/A
27,2601,players_1,AlwaysCallPlayer,5,2,0,210,210,840,True,5-diamonds,8-spades,3-hearts,6-spades,A-clubs,Q-spades,Z-N/A
27,2601,players_1,AlwaysCallPlayer,6,2,0,210,210,840,True,5-diamonds,8-spades,2-diamonds,3-hearts,6-spades,A-clubs,Q-spades
27,2602,players_1,AlwaysCallPlayer,1,3,10,0,10,25,True,5-hearts,9-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2602,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,5-hearts,9-spades,10-spades,2-diamonds,7-hearts,Z-N/A,Z-N/A
27,2602,players_1,AlwaysCallPlayer,3,3,0,110,110,440,True,5-hearts,9-spades,10-spades,2-diamonds,7-hearts,Z-N/A,Z-N/A
27,2602,players_1,AlwaysCallPlayer,4,2,0,110,110,440,True,5-hearts,9-spades,10-spades,2-diamonds,7-hearts,K-clubs,Z-N/A
27,2602,players_1,AlwaysCallPlayer,5,2,0,110,110,440,True,5-hearts,9-spades,10-spades,2-diamonds,7-hearts,7-spades,K-clubs
27,2603,players_1,AlwaysCallPlayer,1,3,5,5,10,35,True,2-hearts,5-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2603,players_1,AlwaysCallPlayer,2,3,0,10,10,40,True,2-hearts,5-clubs,2-spades,A-hearts,Q-diamonds,Z-N/A,Z-N/A
27,2603,players_1,AlwaysCallPlayer,3,2,0,10,10,40,True,2-hearts,5-clubs,10-diamonds,2-spades,A-hearts,Q-diamonds,Z-N/A
27,2603,players_1,AlwaysCallPlayer,4,2,0,10,10,40,True,2-hearts,5-clubs,10-diamonds,2-spades,4-clubs,A-hearts,Q-diamonds
27,2604,players_1,AlwaysCallPlayer,1,3,0,10,10,40,True,6-diamonds,7-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2604,players_1,AlwaysCallPlayer,2,2,0,10,10,40,True,6-diamonds,7-clubs,10-hearts,8-clubs,K-clubs,Z-N/A,Z-N/A
27,2604,players_1,AlwaysCallPlayer,3,2,0,10,10,40,True,6-diamonds,7-clubs,10-hearts,2-hearts,8-clubs,K-clubs,Z-N/A
27,2604,players_1,AlwaysCallPlayer,4,2,0,10,10,40,True,6-diamonds,7-clubs,10-hearts,2-hearts,8-clubs,K-clubs,K-diamonds
27,2605,players_1,AlwaysCallPlayer,1,3,10,0,10,15,True,9-clubs,J-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,9-clubs,J-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,3,3,100,110,210,540,False,9-clubs,J-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,4,3,100,210,310,940,True,9-clubs,J-spades,10-clubs,6-hearts,A-hearts,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,5,3,100,310,410,1340,True,9-clubs,J-spades,10-clubs,6-hearts,A-hearts,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,6,3,0,410,410,1640,False,9-clubs,J-spades,10-clubs,6-hearts,A-hearts,Z-N/A,Z-N/A
27,2605,players_1,AlwaysCallPlayer,7,3,100,410,510,1740,True,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,A-hearts,Z-N/A
27,2605,players_1,AlwaysCallPlayer,8,3,100,510,610,2140,True,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,A-hearts,Z-N/A
27,2605,players_1,AlwaysCallPlayer,9,3,0,610,610,2440,False,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,A-hearts,Z-N/A
27,2605,players_1,AlwaysCallPlayer,10,3,100,610,710,2540,True,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,7-hearts,A-hearts
27,2605,players_1,AlwaysCallPlayer,11,3,100,710,810,2940,True,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,7-hearts,A-hearts
27,2605,players_1,AlwaysCallPlayer,12,3,0,810,810,3240,False,9-clubs,J-spades,10-clubs,6-hearts,7-clubs,7-hearts,A-hearts
27,2606,players_1,AlwaysCallPlayer,1,3,110,0,110,125,True,3-diamonds,6-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
27,2606,players_1,AlwaysCallPlayer,2,3,100,110,210,540,True,3-diamonds,6-spades,4-diamonds,A-clubs,K-hearts,Z-N/A,Z-N/A
