table_id,game_id,player_name,player_type,bet_number,opponents,call,current,final,pot,allowed,hand1,hand2,community1,community2,community3,community4,community5
32,3101,players_1,AlwaysCallPlayer,1,4,10,0,10,15,True,2-diamonds,6-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3101,players_1,AlwaysCallPlayer,2,3,0,10,10,50,True,2-diamonds,6-spades,2-hearts,7-diamonds,7-hearts,Z-N/A,Z-N/A
32,3101,players_1,AlwaysCallPlayer,3,3,0,10,10,50,True,2-diamonds,6-spades,2-hearts,7-diamonds,7-hearts,9-clubs,Z-N/A
32,3101,players_1,AlwaysCallPlayer,4,3,0,10,10,50,True,2-diamonds,6-spades,2-hearts,7-diamonds,7-hearts,9-clubs,A-spades
32,3102,players_1,AlwaysCallPlayer,1,4,10,0,10,25,True,5-hearts,8-hearts,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3102,players_1,AlwaysCallPlayer,2,3,0,10,10,50,True,5-hearts,8-hearts,9-hearts,Q-clubs,Q-hearts,Z-N/A,Z-N/A
32,3102,players_1,AlwaysCallPlayer,3,3,0,10,10,50,True,5-hearts,8-hearts,9-hearts,K-diamonds,Q-clubs,Q-hearts,Z-N/A
32,3102,players_1,AlwaysCallPlayer,4,3,0,10,10,50,True,5-hearts,8-hearts,10-hearts,9-hearts,K-diamonds,Q-clubs,Q-hearts
32,3103,players_1,AlwaysCallPlayer,1,4,10,0,10,35,True,9-diamonds,J-hearts,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3103,players_1,AlwaysCallPlayer,2,3,0,10,10,50,True,9-diamonds,J-hearts,6-clubs,6-diamonds,J-clubs,Z-N/A,Z-N/A
32,3103,players_1,AlwaysCallPlayer,3,3,0,10,10,50,True,9-diamonds,J-hearts,6-clubs,6-diamonds,8-hearts,J-clubs,Z-N/A
32,3103,players_1,AlwaysCallPlayer,4,3,0,10,10,50,True,9-diamonds,J-hearts,5-hearts,6-clubs,6-diamonds,8-hearts,J-clubs
32,3104,players_1,AlwaysCallPlayer,1,4,105,5,110,145,True,3-spades,5-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,2,4,100,110,210,650,True,3-spades,5-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,3,4,0,210,210,1050,False,3-spades,5-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,4,4,0,210,210,1050,True,3-spades,5-clubs,3-clubs,6-clubs,8-spades,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,5,4,100,210,310,1150,True,3-spades,5-clubs,3-clubs,6-clubs,8-spades,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,6,4,100,310,410,1650,False,3-spades,5-clubs,3-clubs,6-clubs,8-spades,Z-N/A,Z-N/A
32,3104,players_1,AlwaysCallPlayer,7,4,0,410,410,2050,True,3-spades,5-clubs,3-clubs,6-clubs,8-spades,J-hearts,Z-N/A
32,3104,players_1,AlwaysCallPlayer,8,4,100,410,510,2150,True,3-spades,5-clubs,3-clubs,6-clubs,8-spades,J-hearts,Z-N/A
32,3104,players_1,AlwaysCallPlayer,9,4,100,510,610,2650,False,3-spades,5-clubs,3-clubs,6-clubs,8-spades,J-hearts,Z-N/A
32,3104,players_1,AlwaysCallPlayer,10,4,0,610,610,3050,True,3-spades,5-clubs,3-clubs,6-clubs,8-clubs,8-spades,J-hearts
32,3104,players_1,AlwaysCallPlayer,11,4,100,610,710,3150,True,3-spades,5-clubs,3-clubs,6-clubs,8-clubs,8-spades,J-hearts
32,3104,players_1,AlwaysCallPlayer,12,4,100,710,810,3650,False,3-spades,5-clubs,3-clubs,6-clubs,8-clubs,8-spades,J-hearts
