table_id,game_id,player_name,player_type,bet_number,opponents,call,current,final,pot,allowed,hand1,hand2,community1,community2,community3,community4,community5
25,2401,players_1,AlwaysCallPlayer,1,3,10,0,10,15,True,4-diamonds,A-diamonds,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2401,players_1,AlwaysCallPlayer,2,3,0,10,10,40,True,4-diamonds,A-diamonds,2-clubs,5-hearts,6-spades,Z-N/A,Z-N/A
25,2401,players_1,AlwaysCallPlayer,3,3,0,10,10,40,True,4-diamonds,A-diamonds,2-clubs,5-hearts,6-spades,7-diamonds,Z-N/A
25,2401,players_1,AlwaysCallPlayer,4,2,0,10,10,40,True,4-diamonds,A-diamonds,2-clubs,2-hearts,5-hearts,6-spades,7-diamonds
25,2402,players_1,AlwaysCallPlayer,1,3,10,0,10,25,True,2-clubs,2-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2402,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,2-clubs,2-spades,2-hearts,4-spades,6-diamonds,Z-N/A,Z-N/A
25,2402,players_1,AlwaysCallPlayer,3,3,100,110,210,540,True,2-clubs,2-spades,2-hearts,4-spades,6-diamonds,Z-N/A,Z-N/A
25,2402,players_1,AlwaysCallPlayer,4,3,0,210,210,840,False,2-clubs,2-spades,2-hearts,4-spades,6-diamonds,Z-N/A,Z-N/A
25,2402,players_1,AlwaysCallPlayer,5,3,0,210,210,840,True,2-clubs,2-spades,2-hearts,4-spades,5-clubs,6-diamonds,Z-N/A
25,2402,players_1,AlwaysCallPlayer,6,3,0,210,210,840,True,2-clubs,2-spades,2-hearts,4-spades,5-clubs,6-diamonds,A-diamonds
25,2403,players_1,AlwaysCallPlayer,1,3,5,5,10,35,True,6-clubs,J-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2403,players_1,AlwaysCallPlayer,2,3,0,10,10,40,True,6-clubs,J-clubs,5-diamonds,9-clubs,K-hearts,Z-N/A,Z-N/A
25,2403,players_1,AlwaysCallPlayer,3,3,0,10,10,40,True,6-clubs,J-clubs,10-hearts,5-diamonds,9-clubs,K-hearts,Z-N/A
25,2403,players_1,AlwaysCallPlayer,4,3,0,10,10,40,True,6-clubs,J-clubs,10-hearts,5-diamonds,9-clubs,K-hearts,Q-clubs
25,2404,players_1,AlwaysCallPlayer,1,3,0,10,10,40,True,10-diamonds,K-diamonds,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2404,players_1,AlwaysCallPlayer,2,2,0,10,10,40,True,10-diamonds,K-diamonds,4-hearts,J-diamonds,K-spades,Z-N/A,Z-N/A
25,2404,players_1,AlwaysCallPlayer,3,2,0,10,10,40,True,10-diamonds,K-diamonds,4-hearts,6-clubs,J-diamonds,K-spades,Z-N/A
25,2404,players_1,AlwaysCallPlayer,4,2,0,10,10,40,True,10-diamonds,K-diamonds,10-hearts,4-hearts,6-clubs,J-diamonds,K-spades
25,2405,players_1,AlwaysCallPlayer,1,3,10,0,10,15,True,3-diamonds,5-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2405,players_1,AlwaysCallPlayer,2,2,0,10,10,40,True,3-diamonds,5-spades,3-clubs,4-hearts,J-clubs,Z-N/A,Z-N/A
25,2405,players_1,AlwaysCallPlayer,3,2,0,10,10,40,True,3-diamonds,5-spades,3-clubs,4-clubs,4-hearts,J-clubs,Z-N/A
25,2405,players_1,AlwaysCallPlayer,4,2,0,10,10,40,True,3-diamonds,5-spades,2-clubs,3-clubs,4-clubs,4-hearts,J-clubs
25,2406,players_1,AlwaysCallPlayer,1,3,10,0,10,25,True,3-diamonds,6-diamonds,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2406,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,Z-N/A,Z-N/A
25,2406,players_1,AlwaysCallPlayer,3,3,100,110,210,540,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,Z-N/A,Z-N/A
25,2406,players_1,AlwaysCallPlayer,4,3,0,210,210,840,False,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,Z-N/A,Z-N/A
25,2406,players_1,AlwaysCallPlayer,5,3,100,210,310,940,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,A-clubs,Z-N/A
25,2406,players_1,AlwaysCallPlayer,6,3,0,310,310,1240,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,A-clubs,Z-N/A
25,2406,players_1,AlwaysCallPlayer,7,3,100,310,410,1340,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,A-clubs,A-spades
25,2406,players_1,AlwaysCallPlayer,8,3,100,410,510,1740,True,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,A-clubs,A-spades
25,2406,players_1,AlwaysCallPlayer,9,3,0,510,510,2040,False,3-diamonds,6-diamonds,2-hearts,4-spades,9-diamonds,A-clubs,A-spades
25,2407,players_1,AlwaysCallPlayer,1,3,5,5,10,35,True,10-spades,5-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2407,players_1,AlwaysCallPlayer,2,3,0,10,10,40,True,10-spades,5-clubs,3-diamonds,3-spades,8-spades,Z-N/A,Z-N/A
25,2407,players_1,AlwaysCallPlayer,3,3,100,10,110,140,True,10-spades,5-clubs,3-diamonds,3-spades,8-spades,Z-N/A,Z-N/A
25,2407,players_1,AlwaysCallPlayer,4,3,100,110,210,540,False,10-spades,5-clubs,3-diamonds,3-spades,8-spades,Z-N/A,Z-N/A
25,2407,players_1,AlwaysCallPlayer,5,3,0,210,210,840,True,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Z-N/A
25,2407,players_1,AlwaysCallPlayer,6,3,100,210,310,940,True,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Z-N/A
25,2407,players_1,AlwaysCallPlayer,7,3,100,310,410,1340,False,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Z-N/A
25,2407,players_1,AlwaysCallPlayer,8,3,0,410,410,1640,True,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Q-diamonds
25,2407,players_1,AlwaysCallPlayer,9,3,100,410,510,1740,True,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Q-diamonds
25,2407,players_1,AlwaysCallPlayer,10,3,100,510,610,2140,False,10-spades,5-clubs,2-spades,3-diamonds,3-spades,8-spades,Q-diamonds
25,2408,players_1,AlwaysCallPlayer,1,3,100,10,110,140,True,5-hearts,6-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2408,players_1,AlwaysCallPlayer,2,3,100,110,210,540,True,5-hearts,6-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2408,players_1,AlwaysCallPlayer,3,3,0,210,210,840,False,5-hearts,6-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2408,players_1,AlwaysCallPlayer,4,3,0,210,210,840,True,5-hearts,6-clubs,10-diamonds,3-clubs,J-hearts,Z-N/A,Z-N/A
25,2408,players_1,AlwaysCallPlayer,5,3,0,210,210,840,True,5-hearts,6-clubs,10-diamonds,3-clubs,3-hearts,J-hearts,Z-N/A
25,2408,players_1,AlwaysCallPlayer,6,3,0,210,210,840,True,5-hearts,6-clubs,10-diamonds,10-hearts,3-clubs,3-hearts,J-hearts
25,2409,players_1,AlwaysCallPlayer,1,3,10,0,10,15,True,6-clubs,7-hearts,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2409,players_1,AlwaysCallPlayer,2,3,100,10,110,140,True,6-clubs,7-hearts,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
25,2409,players_1,AlwaysCallPlayer,3,3,100,110,210,540,True,6-clubs,7-hearts,4-diamonds,5-clubs,8-hearts,Z-N/A,Z-N/A
25,2409,players_1,AlwaysCallPlayer,4,3,100,210,310,940,True,6-clubs,7-hearts,4-diamonds,5-clubs,8-hearts,Z-N/A,Z-N/A
25,2409,players_1,AlwaysCallPlayer,5,3,0,310,310,1240,False,6-clubs,7-hearts,4-diamonds,5-clubs,8-hearts,Z-N/A,Z-N/A
25,2409,players_1,AlwaysCallPlayer,6,3,100,310,410,1340,True,6-clubs,7-hearts,3-clubs,4-diamonds,5-clubs,8-hearts,Z-N/A
25,2409,players_1,AlwaysCallPlayer,7,3,0,410,410,1640,True,6-clubs,7-hearts,3-clubs,4-diamonds,5-clubs,8-hearts,Z-N/A
25,2409,players_1,AlwaysCallPlayer,8,3,100,410,510,1740,True,6-clubs,7-hearts,3-clubs,4-diamonds,5-clubs,8-hearts,Q-clubs
