table_id,game_id,player_name,player_type,game_result,game_reason,blind_type,final_hand,beginning_balance,game_start_balance,game_end_balance,game_net_change
39,3801,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100000,99590,-410
39,3802,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,99590,99080,-510
39,3803,players_1,AlwaysCallPlayer,won,won_game,None,straight,100000,99080,99120.0,40.0
39,3804,players_1,AlwaysCallPlayer,won,won_game,small,straight,100000,99120.0,99885.0,765.0
39,3805,players_1,AlwaysCallPlayer,won,won_game,big,two_pair,100000,99885.0,99925.0,40.0
39,3806,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,99925.0,99915.0,-10.0
39,3807,players_1,AlwaysCallPlayer,won,won_game,None,three_of_kind,100000,99915.0,99955.0,40.0
39,3808,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,99955.0,99745.0,-210.0
39,3809,players_1,AlwaysCallPlayer,lost,lost_game,small,one_pair,100000,99745.0,99135.0,-610.0
39,3810,players_1,AlwaysCallPlayer,lost,lost_game,big,two_pair,100000,99135.0,98825.0,-310.0
39,3811,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,98825.0,98815.0,-10.0
39,3812,players_1,AlwaysCallPlayer,won,won_game,None,two_pair,100000,98815.0,98830.0,15.0
39,3813,players_1,AlwaysCallPlayer,lost,lost_game,None,full_house,100000,98830.0,98420.0,-410.0
39,3814,players_1,AlwaysCallPlayer,won,won_game,small,two_pair,100000,98420.0,100860.0,2440.0
39,3815,players_1,AlwaysCallPlayer,lost,lost_game,big,one_pair,100000,100860.0,100850.0,-10.0
39,3816,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100850.0,100840.0,-10.0
39,3817,players_1,AlwaysCallPlayer,won,won_game,None,one_pair,100000,100840.0,100880.0,40.0
39,3818,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100880.0,100870.0,-10.0
39,3819,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,100870.0,100860.0,-10.0
39,3820,players_1,AlwaysCallPlayer,won,won_game,big,two_pair,100000,100860.0,100900.0,40.0
39,3821,players_1,AlwaysCallPlayer,won,won_game,None,flush,100000,100900.0,100940.0,40.0
39,3822,players_1,AlwaysCallPlayer,lost,lost_game,None,one_pair,100000,100940.0,100930.0,-10.0
39,3823,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100930.0,100720.0,-210.0
39,3824,players_1,AlwaysCallPlayer,lost,lost_game,small,high_card,100000,100720.0,100010.0,-710.0
39,3825,players_1,AlwaysCallPlayer,won,won_game,big,flush,100000,100010.0,100450.0,440.0
39,3826,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100450.0,100340.0,-110.0
39,3827,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100340.0,100330.0,-10.0
39,3828,players_1,AlwaysCallPlayer,lost,lost_game,None,two_pair,100000,100330.0,100320.0,-10.0
39,3829,players_1,AlwaysCallPlayer,won,won_game,small,high_card,100000,100320.0,100335.0,15.0
39,3830,players_1,AlwaysCallPlayer,lost,lost_game,big,two_pair,100000,100335.0,100025.0,-310.0
39,3831,players_1,AlwaysCallPlayer,lost,lost_game,None,high_card,100000,100025.0,100015.0,-10.0
39,3832,players_1,AlwaysCallPlayer,won,won_game,None,one_pair,100000,100015.0,100055.0,40.0
